Institution ID,Institution Name,City,State/Province,Country
1,Beihang Univeristy,Beijing,,China
2,North China Electric Power Univercity,Changping,Beijing,China
3,Sichuan University,Chengdu,Sichuan,China
4,"Shandong University, Shandong, China",Jinan,Shandong,China
5,Sun Yat-sen University,GuangZhou,GuangDong,China
6,BeiJing University Of Post And Telecommunication,Beijing,Beijing,China
7,"South China Normal University, Guangzhou, P.R. China",Guangzhou,Guangdong,China
8,Shanghai University of Finance and Economics,Shanghai,Shanghai,China
9,Nankai University,Tianjin,,China
10,Shanghai University of Electric Power,Shanghai,,China
11,Huazhong Agricultural University,Wuhan,Hubei,China
12,Southwest Jiaotong University,CHENGDU,SICHUAN,China
13,BNU-HKBU United International College,Zhuhai,Guangdong,China
14,Tianjin University of Commerce,Tianjin,China Mainland,China
15,High School Affiliated to People's University (RDFZ),Beijing,,China
16,Southwestern University of Finance and Economics,Chengdu,Sichuan,China
17,Huazhong Agriculture University,WuHan,Hubei,China
18,shenyang jianzhu university,shenyang,Liaoning,China
19,Idaho State University,Pocatello,ID,USA
20,University of Science and Technology of China,Hefei,Anhui,China
21,Northwestern Polytechnical University,Xi'an,Shaanxi,China
22,Tongji University,shanghai,Shanghai,China
23,SUN YAT-SEN UNIVERSITY,GUANG ZHOU,,China
24,Shijiazhuang Tiedao University,Shijiazhuang,Hebei,China
25,Wuhan University,Wuhan,Hubei,China
26,Fudan University,Shanghai,,China
27,Shanxi University,Taiyuan,Shanxi,China
28,Sun Yat-Sen University,Guangzhou,Guangdong,China
29,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,SHANGHAI,SHANGHAI,China
30,South-Central University for Nationalities,WuHan,HuBei,China
31,Chongqing University,Chongqing,Chongqing,China
32,Shenyang jianzhu University,Shenyang,Liaoning,China
33,South China Normal University,Guangzhou,,China
34,Economics,beijing,beijing,China
35,East China University Of Science And Technology,Shanghai,Shanghai,China
36,Beijing National Day School,Beijing,,China
37,Shenyang Jianzhu University,Shenyang,Liaoning,China
38,Beijing University of Aeronautics and Astronautics,Beijing,Beijing,China
39,Renmin University of China,Beijing,Beijing,China
40,school of mathematics,shanghai,shanghai,China
41,University of International Business and Economics,Beijing,,China
42,Shandong Institute of Business and Technology,Yantai,Shandong,China
43,Officers College Of CAPF,ChengDu,SiChuan,China
44,"School of Information, Renmin University of China",Beijing,Beijing,China
45,East China University of Science and Technology,Shanghai,Shanghai,China
46,Panzhihua University,Pan Zhihua,SiChuan,China
47,Peking University,Beijing,,China
48,Donghua University,Shanghai,Shanghai,China
49,University of science and technology of China,Hefei,Anhui,China
50,Beijing Normal University,Beijing,China,China
51,East China Institute of Technology,Nanchang,Jiangxi,China
52,Guangdong University of Foreign Studies,Guangzhou,Guangdong,China
53,Capital University of Economics and Business,Beijing,,China
54,Institute of Microelectronics,Beijing,Beijing,China
55,"Nankai university ,China",Tianjing,Tianjing,China
56,Lanzhou university,lanzhou,Gansu,China
57,Nanjing University,"Haian,Nantong",Jiangsu,China
58,Xi'an University of Posts and Telecommunications,Xi'an,Shaanxi,China
59,Southern Medical University,Guangzhou,Guangdong Province,China
60,Harbin Institute of Technology,Harbin,Heilongjiang,China
61,Dalian Maritime University,Dalian,Liaoning,China
62,TongJi university,ShangHai,,China
63,Zhejiang University,Hangzhou,Zhejiang,China
64,Zhongnan University of Economics and Law,Wuhan,Hubei,China
65,ZUEL,wuhan,hubei,China
66,East China Normal University,Shanghai,,China
67,"FuYang Normal College, AnHui, China.",FuYang,,China
68,"Fuyang Normal College, Anhui province, China.",Fuyang,yingzhou,China
69,Shanghai Jiao Tong University,Shanghai,Shanghai,China
70,North China Electric Power University,Baoding,Hebei Province,China
71,Hainan University,HaiKou,HaiNan,China
72,School of Electrical Engineering,Wuhan,Hubei,China
73,Sacred Heart University,Fairfield,CT,USA
74,"School of Engineering,Sun Yat-Sen University",Guangzhou,Guangdong,China
75,WuHan University Of Tecnology,WuHan,HuBei,China
76,Shandong University of Science and Technology,Qingdao,P.R.China,China
77,Shenyang Pharmaceutical University,Benxi,Liaoning,China
78,"School of Reliability and Systems Engineering,Beihang University",Beijing,Beijing,China
79,Yunnan Normal University,Kunming,Yunnan Province,China
80,Columbia University,New York,NY,USA
81,South China Agricultural University,Guangzhou,Guangdong,China
82,the city college of jilin jianzhu university,Changchun City,jilin,China
83,Beijing University of Technology,Beijing,Beijing,China
84,Taiyuan University,jinzhong,shanxi,China
85,Dalian Institute of Science and Technology,Dalian,Liaoning,China
86,Inner Mongolia Agricultural University,Hohhot,,China
87,Dongbei University of Finance and Economics,Dalian,Liaoning Province,China
88,University of International Business and Economy,Beijing,Chaoyang,China
89,University of International Business and Economics of China,Beijing,,China
90,Shanghai Universtiy of Finance and Economics,Shanghai,,China
